"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Item Due Date","","3","0","11","0","0"
"","Items actions operations","","1","0","8","0","0"
"","User","","1","0","1","0","0"
"","Project Creation Above","","0","0","2","0","0"
"","Profile settings view","","0","0","1","0","0"
"","Full name update","","0","0","1","0","0"
"","Project Update","","0","0","1","0","0"
"","Recycle Bin","","0","0","1","0","0"
"","Project Creation","","0","0","1","0","0"
"","Items CRUD operations","","2","0","1","0","0"
"","Project Deletion","","0","0","1","0","0"
"","Project Image Selection","","0","0","1","0","0"
"","Time Zone update","","0","0","1","0","0"
"","Email update","","0","0","1","0","0"
"","Password update","","0","0","1","0","0"
"","Settings account view","","0","0","1","0","0"
